product_id,product_name,niche_term,product_category,channel_name,discount_bracket,total_orders,units_sold,total_revenue,avg_unit_price
4488,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",16,"64.000","5039.40","78.7406250000"
4488,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",7,"40.000","3359.60","83.9900000000"
4488,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",3,"12.000","1439.88","119.9900000000"
4496,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",44,"240.000","20313.64","83.9375438596"
4496,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",10,"48.000","4247.52","88.4900000000"
4496,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",1,"4.000","467.96","116.9900000000"
4504,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",30,"176.000","14890.24","82.7900000000"
4504,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",12,"56.000","4727.44","84.4185714286"
4504,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",3,"16.000","1871.84","116.9900000000"
4511,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",42,"188.000","17186.20","91.4159574468"
4511,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",11,"56.000","4035.48","72.0621428571"
4511,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",3,"20.000","1199.80","59.9900000000"
4511,,"Oriente Petrolero","Women","Point of Sale","Deep Discount (>30%)",1,"8.000","680.00","85.0000000000"
4518,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",67,"300.000","32613.16","109.0985810811"
4518,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",28,"116.000","11826.84","101.9555172414"
4518,,"Oriente Petrolero","Women","Other Channels","Deep Discount (>30%)",1,"4.000","467.96","116.9900000000"
7261,"Polera Australian Open","Tenis","Adultos","Other Channels","Full Price",1,"1.000","124.99","124.9900000000"
7536,"Polera Rafa Nadal - Mujer","Tenis","Women","Manual Admin","20-30% Discount",1,"1.000","139.99","139.9900000000"
7614,"Polera Australian Open Melbourne - Azul Marino","Tenis","Adultos","Other Channels","20-30% Discount",3,"15.000","1899.99","126.4433333333"
7623,"Polera Australian Open - Negra","Tenis","Adultos","Manual Admin","20-30% Discount",1,"24.000","2999.76","124.9900000000"
7623,"Polera Australian Open - Negra","Tenis","Adultos","Other Channels","20-30% Discount",1,"3.000","299.97","99.9900000000"
7624,"Polera Australian Open - Azul Marino","Tenis","Adultos","Manual Admin","20-30% Discount",1,"3.000","299.97","99.9900000000"
7624,"Polera Australian Open - Azul Marino","Tenis","Adultos","Other Channels","20-30% Discount",2,"6.000","639.96","106.6600000000"
7641,"Polera Australian Open - Azul","Tenis","Adultos","Manual Admin","20-30% Discount",1,"4.000","499.96","124.9900000000"
7641,"Polera Australian Open - Azul","Tenis","Adultos","Online Web","20-30% Discount",1,"2.000","193.32","96.6600000000"
7641,"Polera Australian Open - Azul","Tenis","Adultos","Other Channels","20-30% Discount",2,"6.000","729.94","121.6566666667"
7650,"Polera Vamos Rafa - Negra","Tenis","Adultos","Manual Admin","20-30% Discount",2,"6.000","719.94","119.9900000000"
7650,"Polera Vamos Rafa - Negra","Tenis","Adultos","Other Channels","20-30% Discount",1,"3.000","354.96","118.3200000000"
7659,"Polera Vamos Rafa - Roja","Tenis","Adultos","Manual Admin","20-30% Discount",1,"2.000","239.98","119.9900000000"
7659,"Polera Vamos Rafa - Roja","Tenis","Adultos","Online Web","20-30% Discount",1,"2.000","229.98","114.9900000000"
7668,"Polera Vamos Rafa - Blanca","Tenis","Adultos","Manual Admin","20-30% Discount",1,"1.000","129.99","129.9900000000"
7677,"Polera Rafa Nadal - Blanca","Tenis","Adultos","Manual Admin","20-30% Discount",1,"3.000","389.97","129.9900000000"
7677,"Polera Rafa Nadal - Blanca","Tenis","Adultos","Online Web","20-30% Discount",2,"6.000","764.94","127.4900000000"
7677,"Polera Rafa Nadal - Blanca","Tenis","Adultos","Other Channels","20-30% Discount",1,"3.000","389.97","129.9900000000"
7686,"Polera Rafa Nadal - Negra","Tenis","Adultos","Manual Admin","20-30% Discount",4,"28.000","3959.72","141.4185714286"
7686,"Polera Rafa Nadal - Negra","Tenis","Adultos","Online Web","20-30% Discount",2,"8.000","1006.56","125.8200000000"
7686,"Polera Rafa Nadal - Negra","Tenis","Adultos","Other Channels","20-30% Discount",4,"16.000","2219.84","138.7400000000"
7695,"Polera Rafa Nadal - Azul","Tenis","Adultos","Manual Admin","20-30% Discount",3,"12.000","1559.88","129.9900000000"
7695,"Polera Rafa Nadal - Azul","Tenis","Adultos","Online Web","20-30% Discount",2,"9.000","1199.91","133.3233333333"
7695,"Polera Rafa Nadal - Azul","Tenis","Adultos","Other Channels","20-30% Discount",1,"3.000","419.97","139.9900000000"
7704,"Polera Novak - Negra","Tenis","Adultos","Other Channels","20-30% Discount",1,"1.000","135.00","135.0000000000"
7713,"Polera Novak - Verde","Tenis","Adultos","Manual Admin","20-30% Discount",4,"8.000","1040.00","130.0000000000"
7713,"Polera Novak - Verde","Tenis","Adultos","Online Web","20-30% Discount",2,"6.000","830.00","138.3333333333"
7713,"Polera Novak - Verde","Tenis","Adultos","Other Channels","20-30% Discount",2,"6.000","810.00","135.0000000000"
7722,"Polera Novak - Blanca","Tenis","Adultos","Manual Admin","20-30% Discount",2,"15.000","2055.00","137.0000000000"
7722,"Polera Novak - Blanca","Tenis","Adultos","Other Channels","20-30% Discount",1,"3.000","369.99","123.3300000000"
7749,"Polera Nole - Negra","Tenis","Adultos","Manual Admin","20-30% Discount",2,"4.000","484.00","121.0000000000"
7749,"Polera Nole - Negra","Tenis","Adultos","Other Channels","20-30% Discount",1,"2.000","196.64","98.3200000000"
7842,"Polera Rafa Nadal - Niño","Tenis","Niños","Manual Admin","20-30% Discount",2,"4.000","500.00","125.0000000000"
7862,"Polera Novak - Niño","Tenis","Niños","Online Web","20-30% Discount",2,"12.000","1316.00","109.6666666667"
7862,"Polera Novak - Niño","Tenis","Niños","Other Channels","20-30% Discount",1,"4.000","428.00","107.0000000000"
8085,"Gorra Camionera Rafael Nadal","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
8104,"Gorra Camionera Rafael Nadal - Niño","Tenis","Caps","Manual Admin","Deep Discount (>30%)",3,"8.000","479.92","59.9900000000"
8104,"Gorra Camionera Rafael Nadal - Niño","Tenis","Caps","Online Web","Deep Discount (>30%)",2,"6.000","359.94","59.9900000000"
8104,"Gorra Camionera Rafael Nadal - Niño","Tenis","Caps","Other Channels","Deep Discount (>30%)",1,"2.000","119.98","59.9900000000"
8104,"Gorra Camionera Rafael Nadal - Niño","Tenis","Caps","Point of Sale","Deep Discount (>30%)",1,"2.000","119.98","59.9900000000"
8109,"Gorra Camionera Djokovic - Niño","Tenis","Caps","Manual Admin","Deep Discount (>30%)",1,"2.000","119.98","59.9900000000"
8109,"Gorra Camionera Djokovic - Niño","Tenis","Caps","Other Channels","Deep Discount (>30%)",1,"2.000","119.98","59.9900000000"
8116,"Gorra Camionera AO - Blanca","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",5,"12.000","759.88","63.3233333333"
8116,"Gorra Camionera AO - Blanca","Tenis","Adultos","Other Channels","Deep Discount (>30%)",3,"4.000","249.96","62.4900000000"
8118,"Gorra Camionera AO - Azul Marino","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",3,"6.000","379.94","63.3233333333"
8118,"Gorra Camionera AO - Azul Marino","Tenis","Adultos","Other Channels","Deep Discount (>30%)",1,"1.000","54.99","54.9900000000"
8120,"Gorra Camionera AO - Negra","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",5,"9.000","549.91","61.1011111111"
8120,"Gorra Camionera AO - Negra","Tenis","Adultos","Online Web","Deep Discount (>30%)",2,"3.000","179.97","59.9900000000"
8122,"Gorra Camionera Rafael Nadal - Roja","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",5,"9.000","459.93","51.1033333333"
8122,"Gorra Camionera Rafael Nadal - Roja","Tenis","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","54.99","54.9900000000"
8122,"Gorra Camionera Rafael Nadal - Roja","Tenis","Adultos","Other Channels","Deep Discount (>30%)",1,"2.000","90.00","45.0000000000"
8124,"Gorra Camionera Rafael Nadal - Negra","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",13,"21.000","1259.83","59.9920000000"
8124,"Gorra Camionera Rafael Nadal - Negra","Tenis","Adultos","Online Web","Deep Discount (>30%)",5,"6.000","351.61","58.6016666667"
8124,"Gorra Camionera Rafael Nadal - Negra","Tenis","Adultos","Other Channels","Deep Discount (>30%)",4,"4.000","243.30","60.8250000000"
8126,"Gorra Camionera Rafael Nadal - Negra con Blanco","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",2,"5.000","299.95","59.9900000000"
8126,"Gorra Camionera Rafael Nadal - Negra con Blanco","Tenis","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
8126,"Gorra Camionera Rafael Nadal - Negra con Blanco","Tenis","Adultos","Other Channels","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
8128,"Gorra Camionera Rafael Nadal - Blanca","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",6,"10.000","589.90","58.9900000000"
8128,"Gorra Camionera Rafael Nadal - Blanca","Tenis","Adultos","Online Web","Deep Discount (>30%)",5,"6.000","359.94","59.9900000000"
8128,"Gorra Camionera Rafael Nadal - Blanca","Tenis","Adultos","Other Channels","Deep Discount (>30%)",2,"2.000","119.98","59.9900000000"
8130,"Gorra Camionera Djokovic - Negra con Blanco","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
8130,"Gorra Camionera Djokovic - Negra con Blanco","Tenis","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
8132,"Gorra Camionera Djokovic - Azul Marino","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",3,"6.000","379.94","63.3233333333"
8134,"Gorra Camionera Djokovic - Negra","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",4,"4.000","239.96","59.9900000000"
8134,"Gorra Camionera Djokovic - Negra","Tenis","Adultos","Other Channels","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
8137,"Gorra Camionera Djokovic - Blanca","Tenis","Adultos","Manual Admin","Deep Discount (>30%)",3,"3.000","179.97","59.9900000000"
8137,"Gorra Camionera Djokovic - Blanca","Tenis","Adultos","Online Web","Deep Discount (>30%)",1,"2.000","129.98","64.9900000000"
8137,"Gorra Camionera Djokovic - Blanca","Tenis","Adultos","Other Channels","Deep Discount (>30%)",1,"2.000","129.98","64.9900000000"
8452,"Polera Checo Pérez","Formula 1","Adultos","Manual Admin","20-30% Discount",2,"8.000","1039.92","129.9900000000"
8452,"Polera Checo Pérez","Formula 1","Adultos","Online Web","20-30% Discount",2,"8.000","959.92","119.9900000000"
8500,"Polera Lewis Hamilton","Formula 1","Adultos","Manual Admin","10-20% Discount",2,"4.000","540.00","135.0000000000"
8524,"Polera Scuderia Alpha Tauri","Formula 1","Adultos","Manual Admin","20-30% Discount",1,"1.000","115.00","115.0000000000"
8542,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",8,"27.000","2702.76","100.1022222222"
8542,,"Oriente Petrolero","Women","Manual Admin","Full Price",8,"9.000","900.92","100.1022222222"
8542,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",3,"9.000","821.91","91.3233333333"
8542,,"Oriente Petrolero","Women","Online Web","Full Price",3,"3.000","273.97","91.3233333333"
8561,,"Oriente Petrolero","Women","Manual Admin","Deep Discount (>30%)",5,"24.000","2187.88","91.1616666667"
8561,,"Oriente Petrolero","Women","Online Web","Deep Discount (>30%)",2,"20.000","1199.80","59.9900000000"
8573,"Polera MAX 33 - Mujer","Formula 1","Women","Manual Admin","20-30% Discount",1,"2.000","294.00","147.0000000000"
8573,"Polera MAX 33 - Mujer","Formula 1","Women","Online Web","20-30% Discount",1,"2.000","274.00","137.0000000000"
8614,"Polera Hamilton - Mujer","Formula 1","Mercedes-AMG","Manual Admin","20-30% Discount",1,"1.000","135.00","135.0000000000"
8616,"Polera Lewis Hamilton - Mujer","Formula 1","Mercedes-AMG","Manual Admin","10-20% Discount",2,"6.000","750.00","125.0000000000"
8616,"Polera Lewis Hamilton - Mujer","Formula 1","Mercedes-AMG","Online Web","10-20% Discount",1,"3.000","375.00","125.0000000000"
8658,"Polera McLaren F1 Team - Mujer","Formula 1","McLaren F1 Team","Manual Admin","20-30% Discount",1,"1.000","115.00","115.0000000000"
8705,"Polera MAX 33 - Niño","Formula 1","Niños","Manual Admin","10-20% Discount",1,"1.000","129.99","129.9900000000"
8707,"Polera Checo Pérez - Niño","Formula 1","Niños","Manual Admin","20-30% Discount",1,"2.000","219.98","109.9900000000"
8707,"Polera Checo Pérez - Niño","Formula 1","Niños","Online Web","20-30% Discount",1,"2.000","219.98","109.9900000000"
8788,"Polera McLaren F1 Team - Niño","Formula 1","McLaren F1 Team","Manual Admin","20-30% Discount",1,"1.000","115.00","115.0000000000"
8830,"Polera MAX 33 - Blanca","Formula 1","Adultos","Manual Admin","20-30% Discount",1,"1.000","147.00","147.0000000000"
8849,"Polera MAX 33 - Azul Marino","Formula 1","Adultos","Manual Admin","20-30% Discount",7,"40.000","5680.00","142.0000000000"
8849,"Polera MAX 33 - Azul Marino","Formula 1","Adultos","Online Web","20-30% Discount",3,"12.000","1644.00","137.0000000000"
8859,"Polera Checo Pérez - Azul Marino","Formula 1","Adultos","Manual Admin","20-30% Discount",4,"16.000","2039.84","127.4900000000"
8859,"Polera Checo Pérez - Azul Marino","Formula 1","Adultos","Online Web","20-30% Discount",1,"4.000","519.96","129.9900000000"
8860,"Polera Checo Pérez - Blanca","Formula 1","Adultos","Manual Admin","20-30% Discount",6,"18.000","2339.82","129.9900000000"
8861,"Polera Checo Pérez - Negra","Formula 1","Adultos","Manual Admin","20-30% Discount",6,"49.000","6369.51","129.9900000000"
8861,"Polera Checo Pérez - Negra","Formula 1","Adultos","Online Web","20-30% Discount",4,"35.000","4374.65","124.9900000000"
8861,"Polera Checo Pérez - Negra","Formula 1","Adultos","Other Channels","20-30% Discount",2,"14.000","1749.86","124.9900000000"
8861,"Polera Checo Pérez - Negra","Formula 1","Adultos","Point of Sale","20-30% Discount",1,"7.000","909.93","129.9900000000"
8888,"Polera Hamilton - Negra","Formula 1","Adultos","Manual Admin","20-30% Discount",5,"20.000","2660.00","133.0000000000"
8888,"Polera Hamilton - Negra","Formula 1","Adultos","Point of Sale","20-30% Discount",1,"4.000","540.00","135.0000000000"
8890,"Polera Hamilton - Blanca","Formula 1","Adultos","Point of Sale","20-30% Discount",1,"1.000","135.00","135.0000000000"
8918,"Polera Lewis Hamilton - Ploma","Formula 1","Adultos","Manual Admin","10-20% Discount",1,"2.000","250.00","125.0000000000"
8918,"Polera Lewis Hamilton - Ploma","Formula 1","Adultos","Online Web","10-20% Discount",2,"4.000","500.00","125.0000000000"
8919,"Polera Lewis Hamilton - Negra","Formula 1","Adultos","Manual Admin","10-20% Discount",3,"12.000","1404.00","117.0000000000"
8919,"Polera Lewis Hamilton - Negra","Formula 1","Adultos","Point of Sale","10-20% Discount",1,"4.000","450.00","112.5000000000"
8947,"Polera Scuderia Alpha Tauri - Azul Marino","Formula 1","Adultos","Manual Admin","20-30% Discount",4,"12.000","1289.94","107.4950000000"
8947,"Polera Scuderia Alpha Tauri - Azul Marino","Formula 1","Adultos","Online Web","20-30% Discount",3,"12.000","1237.41","103.1175000000"
8948,"Polera Scuderia Alpha Tauri - Negra","Formula 1","Adultos","Manual Admin","20-30% Discount",1,"2.000","230.00","115.0000000000"
8948,"Polera Scuderia Alpha Tauri - Negra","Formula 1","Adultos","Point of Sale","20-30% Discount",1,"2.000","230.00","115.0000000000"
8949,"Polera Scuderia Alpha Tauri - Blanca","Formula 1","Adultos","Manual Admin","20-30% Discount",1,"1.000","115.00","115.0000000000"
8949,"Polera Scuderia Alpha Tauri - Blanca","Formula 1","Adultos","Online Web","20-30% Discount",3,"3.000","344.41","114.8033333333"
8976,"Polera McLaren F1 Team - Blanca","Formula 1","Adultos","Manual Admin","20-30% Discount",1,"1.000","99.99","99.9900000000"
8976,"Polera McLaren F1 Team - Blanca","Formula 1","Adultos","Online Web","20-30% Discount",1,"1.000","115.00","115.0000000000"
8977,"Polera McLaren F1 Team - Azul","Formula 1","Adultos","Manual Admin","20-30% Discount",1,"3.000","299.97","99.9900000000"
8977,"Polera McLaren F1 Team - Azul","Formula 1","Adultos","Online Web","20-30% Discount",1,"3.000","292.47","97.4900000000"
8977,"Polera McLaren F1 Team - Azul","Formula 1","Adultos","Point of Sale","20-30% Discount",1,"3.000","345.00","115.0000000000"
8978,"Polera McLaren F1 Team - Negra","Formula 1","Adultos","Manual Admin","20-30% Discount",5,"25.000","2799.95","111.9980000000"
8978,"Polera McLaren F1 Team - Negra","Formula 1","Adultos","Online Web","20-30% Discount",3,"15.000","1624.95","108.3300000000"
8990,"Polera ELITE - Roja","Élite","Adult","Manual Admin","20-30% Discount",1,"1.000","119.99","119.9900000000"
9020,"Polera ELITE - Negra","Élite","Adult","Other Channels","20-30% Discount",2,"2.000","239.98","119.9900000000"
9048,"Polera #narcobarbie - Blanca","Élite","Adult","Other Channels","20-30% Discount",1,"1.000","129.99","129.9900000000"
9051,,"Oriente Petrolero","Uncategorized","Manual Admin","Full Price",2,"2.000","299.98","149.9900000000"
9054,,"Oriente Petrolero","Uncategorized","Manual Admin","Full Price",1,"1.000","149.99","149.9900000000"
9058,,"Oriente Petrolero","Uncategorized","Manual Admin","Full Price",2,"4.000","599.96","149.9900000000"
9058,,"Oriente Petrolero","Uncategorized","Other Channels","Full Price",1,"2.000","299.98","149.9900000000"
9066,"Polera Las Encinas International School - Azul Marino","Élite","Adult","Other Channels","20-30% Discount",1,"1.000","137.00","137.0000000000"
9083,,"Oriente Petrolero","Uncategorized","Manual Admin","Full Price",1,"1.000","149.99","149.9900000000"
9103,"Polera RAFA 21 - Azul Marino","Tenis","Adultos","Manual Admin","20-30% Discount",1,"1.000","135.00","135.0000000000"
9113,"Polera RAFA 21 - Negra","Tenis","Adultos","Manual Admin","20-30% Discount",2,"4.000","540.00","135.0000000000"
9113,"Polera RAFA 21 - Negra","Tenis","Adultos","Online Web","20-30% Discount",1,"2.000","270.00","135.0000000000"
9136,"Polera RAFA 21 - Mujer","Tenis","Women","Manual Admin","20-30% Discount",1,"1.000","145.00","145.0000000000"
9136,"Polera RAFA 21 - Mujer","Tenis","Women","Online Web","20-30% Discount",1,"1.000","135.00","135.0000000000"
9152,"Polera Mes Que Un Club","Other Trends","Barcelona","Manual Admin","20-30% Discount",2,"10.000","1303.98","130.3980000000"
9165,"Polera Casual Barcelona","Other Trends","Barcelona","Manual Admin","20-30% Discount",2,"4.000","199.98","49.9950000000"
9165,"Polera Casual Barcelona","Other Trends","Barcelona","Online Web","20-30% Discount",2,"6.000","739.94","123.3233333333"
9165,"Polera Casual Barcelona","Tenis","Niños","Manual Admin","20-30% Discount",2,"4.000","199.98","49.9950000000"
9165,"Polera Casual Barcelona","Tenis","Niños","Online Web","20-30% Discount",2,"6.000","739.94","123.3233333333"
9165,"Polera RAFA 21 - Niño","Other Trends","Barcelona","Manual Admin","10-20% Discount",2,"6.000","299.97","49.9950000000"
9165,"Polera RAFA 21 - Niño","Other Trends","Barcelona","Online Web","10-20% Discount",2,"9.000","1109.91","123.3233333333"
9165,"Polera RAFA 21 - Niño","Tenis","Niños","Manual Admin","10-20% Discount",2,"6.000","299.97","49.9950000000"
9165,"Polera RAFA 21 - Niño","Tenis","Niños","Online Web","10-20% Discount",2,"9.000","1109.91","123.3233333333"
9197,"Polera Real Madrid Est.1902","Other Trends","Real Madrid","Manual Admin","20-30% Discount",3,"12.000","1376.00","114.6666666667"
9197,"Polera Real Madrid Est.1902","Other Trends","Real Madrid","Online Web","20-30% Discount",1,"8.000","482.36","60.2950000000"
9210,"Polera Rey de Europa","Other Trends","Real Madrid","Manual Admin","10-20% Discount",3,"12.000","1361.94","113.4950000000"
9223,"Polera Forza Juve","Other Trends","Juventus","Manual Admin","20-30% Discount",1,"1.000","115.00","115.0000000000"
9327,"Gorra Camionera Checo Perez 11","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9334,"Gorra Camionera Hamilton 44","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9340,"Gorra Camionera Alpha Tauri","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9347,"Gorra Camionera McLaren","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9354,"Gorra Camionera Verstappen 1","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",3,"10.000","599.90","59.9900000000"
9367,"Gorra Camionera Checo Perez 11 - Niño","Formula 1","Caps","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9391,"Gorra Camionera Verstappen 1 - Niño","Formula 1","Caps","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9391,"Gorra Camionera Verstappen 1 - Niño","Juventus","Juventus","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9396,"Polera Forza Juve - Ploma","Juventus","Juventus","Other Channels","Deep Discount (>30%)",1,"1.000","153.00","153.0000000000"
9399,"Gorra Camionera Verstappen 33 - Negra","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9399,"Gorra Camionera Verstappen 33 - Negra","Formula 1","Adultos","Point of Sale","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9401,"Gorra Camionera Verstappen 33 - Blanca","Formula 1","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9401,"Gorra Camionera Verstappen 33 - Blanca","Juventus","Juventus","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9403,"Gorra Camionera Verstappen 33 - Azul Marino","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",7,"7.000","399.93","57.1328571429"
9403,"Gorra Camionera Verstappen 33 - Azul Marino","Formula 1","Adultos","Online Web","Deep Discount (>30%)",3,"4.000","234.96","58.3233333333"
9405,"Gorra Camionera Checo Perez 11 - Negra con Blanco","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",3,"4.000","239.96","59.9900000000"
9408,"Gorra Camionera Checo Perez 11 - Azul Marino","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",5,"5.000","269.95","53.9900000000"
9408,"Gorra Camionera Checo Perez 11 - Azul Marino","Formula 1","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9410,"Gorra Camionera Checo Perez 11 - Blanca","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",2,"2.000","109.98","54.9900000000"
9410,"Gorra Camionera Checo Perez 11 - Blanca","Formula 1","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9412,"Gorra Camionera Checo Perez 11 - Negra","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",7,"8.000","469.92","58.7400000000"
9412,"Gorra Camionera Checo Perez 11 - Negra","Formula 1","Adultos","Online Web","Deep Discount (>30%)",3,"4.000","234.96","58.7400000000"
9414,"Gorra Camionera Hamilton 44 - Negra con Blanco","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",4,"4.000","239.96","59.9900000000"
9415,"Gorra Camionera Hamilton 44 - Blanca","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9416,"Polera Casual Barcelona - Azul con Descuento","Barcelona","Adult","Online Web","Deep Discount (>30%)",1,"1.000","89.99","89.9900000000"
9416,"Polera Casual Barcelona - Azul con Descuento","Élite","Women","Online Web","Deep Discount (>30%)",1,"1.000","89.99","89.9900000000"
9417,"Gorra Camionera Hamilton 44 - Negra","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",8,"8.000","439.92","54.9900000000"
9417,"Gorra Camionera Hamilton 44 - Negra","Formula 1","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9417,"Gorra Camionera Hamilton 44 - Negra","Formula 1","Adultos","Other Channels","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9420,"Gorra Camionera Alpha Tauri - Negra","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",2,"2.000","119.98","59.9900000000"
9424,"Gorra Camionera Alpha Tauri - Blanca","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9426,"Gorra Camionera Alpha Tauri - Azul Marino","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",3,"3.000","179.97","59.9900000000"
9426,"Gorra Camionera Alpha Tauri - Azul Marino","Formula 1","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","57.49","57.4900000000"
9429,"Gorra Camionera McLaren - Azul Marino","Formula 1","Adultos","Manual Admin","Deep Discount (>30%)",1,"1.000","59.99","59.9900000000"
9429,"Gorra Camionera McLaren - Azul Marino","Formula 1","Adultos","Online Web","Deep Discount (>30%)",1,"1.000","57.49","57.4900000000"
